date,link,title
2017-01-23 00:02:00,cz/clanky/projev-prezidenta-republiky-pri-prevzeti-ceny-m-r-stefanika.htm,Projev prezidenta republiky při převzetí ceny M. R. Štefánika
2017-01-23 00:02:00,cz/clanky/projev-prezidenta-republiky-pri-krtu-knihy-petra-zantovskeho-cerna-kniha-ceske-televize-922775.htm,Projev prezidenta republiky při křtu knihy Petra Žantovského Černá kniha České televize
2017-01-21 00:02:00,cz/clanky/projev-prezidenta-republiky-pri-55-schuzi-poslanecke-snemovny-400309.htm,Projev prezidenta republiky při 55. schůzi Poslanecké sněmovny
2017-01-17 00:02:00,cz/clanky/projev-prezidenta-republiky-pri-zaverecne-tiskove-konferenci-v-kralovehradeckem-kraji-231501.htm,Projev prezidenta republiky při závěrečné tiskové konferenci v Královéhradeckém kraji
2017-01-15 00:02:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-zastupiteli-kralovehradeckeho-kraje-378670.htm,Projev prezidenta republiky při setkání se zastupiteli Královéhradeckého kraje
2017-01-14 00:02:00,cz/clanky/projev-prezidenta-republiky-pri-prijeti-hejtmanu-kraju-857651.htm,Projev prezidenta republiky při přijetí hejtmanů krajů
2017-01-11 00:02:00,cz/clanky/projev-prezidenta-republiky-pri-sjezdu-spo-823359.htm,Projev prezidenta republiky při sjezdu SPO
2017-01-31 00:01:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-clenu-bankovni-rady-cnb-205790.htm,Projev prezidenta republiky při jmenování členů Bankovní rady ČNB
2017-01-26 00:01:00,cz/clanky/projev-prezidenta-republiky-pri-zaverecne-tiskove-konferenci-v-plzenskem-kraji-220961.htm,Projev prezidenta republiky při závěrečné tiskové konferenci v Plzeňském kraji
2017-01-24 00:01:00,cz/clanky/projev-prezidenta-republiky-pri-setkani-se-cleny-zastupitelstva-plzenskeho-kraje-315690.htm,Projev prezidenta republiky při setkání se členy Zastupitelstva Plzeňského kraje
2017-01-20 00:01:00,cz/clanky/projev-prezidenta-republiky-pri-3-reprezentacnim-plesu-prezidenta-ceske-republiky-8926.htm,Projev prezidenta republiky při 3. reprezentačním plesu prezidenta České republiky
2017-01-18 00:01:00,cz/clanky/projev-prezidenta-republiky-pri-jmenovani-nových-soudcu.htm,Projev prezidenta republiky při jmenování nových soudců
2016-01-17 00:12:00,cz/clanky/projev-prezidenta-republiky-pri-otevreni-dalnice-d8.htm,Projev prezidenta republiky při otevření dálnice D8
2016-01-08 00:12:00,cz/clanky/projev-prezidenta-republiky-pri-predani-financniho-daru-fondu-ohrozených-deti-203202.htm,Projev prezidenta republiky při předání finančního daru Fondu ohrožených dětí
2016-01-07 00:12:00,cz/clanky/projev-prezidenta-republiky-pri-jednacim-dnu-53-schuze-poslanecke-snemovny-parlamentu-cr-769316.htm,Projev prezidenta republiky při jednacím dnu 53. schůze Poslanecké sněmovny Parlamentu ČR
